[I 2024-05-27 17:40:48,717] A new study created in memory with name: no-name-f1ed3c11-01bd-4200-abc5-aaae8f6f3d22
[I 2024-05-27 17:42:13,587] Trial 0 finished with value: 30.31678147676709 and parameters: {'lr': 0.060995140951262905, 'hs': 5, 'en': 215, 'dropout': 0.008533641498177732}. Best is trial 0 with value: 30.31678147676709.
[I 2024-05-27 17:44:52,167] Trial 1 finished with value: 4.99231080640612 and parameters: {'lr': 0.02028841502169804, 'hs': 4, 'en': 426, 'dropout': 0.007199208882104317}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 17:47:31,066] Trial 2 finished with value: 334.2185404198335 and parameters: {'lr': 0.09496645952903476, 'hs': 7, 'en': 440, 'dropout': 0.005321320005830355}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 17:49:36,983] Trial 3 finished with value: 24.39908032308816 and parameters: {'lr': 0.05023516859614082, 'hs': 3, 'en': 344, 'dropout': 0.0023071903534824336}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 17:49:53,829] Trial 4 finished with value: 37.76804257635118 and parameters: {'lr': 0.024028493077159836, 'hs': 3, 'en': 22, 'dropout': 0.007307004842428112}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 17:52:05,360] Trial 5 finished with value: 29.0470945603539 and parameters: {'lr': 0.08697101880170602, 'hs': 4, 'en': 343, 'dropout': 0.005163115755864882}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 17:54:36,556] Trial 6 finished with value: 15.91806221730368 and parameters: {'lr': 0.09971511996292755, 'hs': 8, 'en': 406, 'dropout': 0.004830233860305576}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 17:56:08,974] Trial 7 finished with value: 37.92846561850255 and parameters: {'lr': 0.07974481256056708, 'hs': 2, 'en': 241, 'dropout': 0.007592776547132213}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 17:58:41,682] Trial 8 finished with value: 7.971591958248111 and parameters: {'lr': 0.00781678872561292, 'hs': 2, 'en': 409, 'dropout': 0.0017039636493518917}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 18:00:47,277] Trial 9 finished with value: 30.09571102756779 and parameters: {'lr': 0.02826722944373534, 'hs': 3, 'en': 335, 'dropout': 0.00845497642562048}. Best is trial 1 with value: 4.99231080640612.
[I 2024-05-27 18:03:49,831] Trial 10 finished with value: 2.6033457583695996 and parameters: {'lr': 0.005812950100555528, 'hs': 6, 'en': 493, 'dropout': 5.588874410971181e-05}. Best is trial 10 with value: 2.6033457583695996.
[I 2024-05-27 18:06:52,440] Trial 11 finished with value: 39.06556990316739 and parameters: {'lr': 0.0001500121700896322, 'hs': 6, 'en': 490, 'dropout': 0.00020198847392254436}. Best is trial 10 with value: 2.6033457583695996.
[I 2024-05-27 18:09:56,691] Trial 12 finished with value: 25.224952373703417 and parameters: {'lr': 0.023944814674251233, 'hs': 5, 'en': 499, 'dropout': 0.009956586934038149}. Best is trial 10 with value: 2.6033457583695996.
[I 2024-05-27 18:10:52,222] Trial 13 finished with value: 28.80282326812035 and parameters: {'lr': 0.012596810658052661, 'hs': 6, 'en': 136, 'dropout': 0.003027909049048723}. Best is trial 10 with value: 2.6033457583695996.
[I 2024-05-27 18:13:35,339] Trial 14 finished with value: 28.142392983516597 and parameters: {'lr': 0.03915131478957465, 'hs': 6, 'en': 440, 'dropout': 0.0064002459090375385}. Best is trial 10 with value: 2.6033457583695996.
[I 2024-05-27 18:15:25,224] Trial 15 finished with value: 4.409565644259321 and parameters: {'lr': 0.014302068156092586, 'hs': 4, 'en': 285, 'dropout': 0.003749783132346356}. Best is trial 10 with value: 2.6033457583695996.
