DATE;LOC;y_1;y_2;y_3;y_4;y_5;y_6;y_7;y_8;C1;C2
1984-12-05;127x07;;0.4;;2.0;;;;;-9.8;-2.4
1984-12-06;127x07;;0.3;;1.9;;;;;-9.4;-1.0
1984-12-07;127x07;;0.2;;1.8;;;;;-5.2;3.6
1984-12-08;127x07;;0.1;;1.7;;;;;-3.6;4.0
1984-12-09;127x07;;0.2;;1.6;;;;;-0.1;5.1
1984-12-10;127x07;;0.3;;1.6;;;;;-1.7;3.0
1984-12-11;127x07;;0.3;;1.6;;;;;-8.3;-2.3
1984-12-12;127x07;;0.3;;1.6;;;;;-5.5;-1.2
1984-12-13;127x07;;0.3;;1.6;;;;;-7.9;-5.4
1984-12-14;127x07;;0.3;;1.6;;;;;-8.6;-1.5
1984-12-15;127x07;;0.3;;1.6;;;;;-9.2;-1.6
1984-12-16;127x07;;0.3;;1.5;;;;;-10.5;-7.1
1984-12-17;127x07;;0.2;;1.5;;;;;-11.1;-1.7
1984-12-18;127x07;;0.1;;1.5;;;;;-12.7;-6.2
1984-12-19;127x07;;-0.0;;1.4;;;;;-15.1;-7.6
1984-12-20;127x07;;-0.2;;1.3;;;;;-12.3;-3.4
1984-12-21;127x07;;-0.2;;1.2;;;;;-5.2;-2.2
1984-12-22;127x07;;-0.2;;1.1;;;;;-3.0;0.8
1984-12-23;127x07;;-0.2;;1.1;;;;;-2.4;0.6
1984-12-24;127x07;;-0.2;;1.1;;;;;-5.2;-0.2
1984-12-25;127x07;;-0.4;;1.0;;;;;-7.1;1.0
1984-12-26;127x07;;-0.5;;1.0;;;;;-1.1;2.5
1984-12-27;127x07;;-0.4;;1.0;;;;;-3.1;0.2
1984-12-28;127x07;;-0.7;;0.9;;;;;-6.8;-2.5
1984-12-29;127x07;;-0.7;;0.8;;;;;-5.6;0.1
1984-12-30;127x07;;-0.4;;0.8;;;;;-2.1;0.4
1984-12-31;127x07;;-0.4;;0.8;;;;;-7.1;-1.9
1985-01-01;127x07;;-0.8;;0.7;;;;;-9.3;-3.4
1985-01-02;127x07;;-1.0;;0.7;;;;;-9.6;-1.3
1985-01-03;127x07;;-1.4;;0.5;;;;;-9.2;-2.3
1985-01-04;127x07;;-1.6;;0.4;;;;;-7.6;0.8
1985-01-05;127x07;;-1.6;;0.3;;;;;-5.8;0.4
1985-01-06;127x07;;-1.4;;0.2;;;;;-6.7;-0.6
1985-01-07;127x07;;-1.1;;0.2;;;;;-4.4;-1.5
1985-01-08;127x07;;-0.8;;0.2;;;;;-3.8;-0.0
1985-01-09;127x07;;-0.9;;0.2;;;;;-4.9;0.2
1985-01-10;127x07;;-1.4;;0.1;;;;;-6.0;1.6
1985-01-11;127x07;;-1.6;;0.0;;;;;-11.1;-5.1
1985-01-12;127x07;;-1.8;;-0.0;;;;;-13.0;-7.5
1985-01-13;127x07;;-2.0;;-0.1;;;;;-14.1;-7.4
1985-01-14;127x07;;-2.3;;-0.3;;;;;-10.5;1.8
1985-01-15;127x07;;-1.8;;-0.3;;;;;-3.8;0.8
1985-01-16;127x07;;-1.8;;-0.4;;;;;-4.0;5.1
1985-01-17;127x07;;-0.3;;0.0;;;;;0.8;9.1
1985-01-18;127x07;;-0.3;;-0.0;;;;;3.2;8.0
1985-01-19;127x07;;-0.3;;0.0;;;;;0.5;7.5
1985-01-20;127x07;;-0.2;;0.0;;;;;-3.0;3.6
1985-01-21;127x07;;-0.3;;0.1;;;;;-4.8;-1.5
1985-01-22;127x07;;-0.5;;0.1;;;;;-5.3;-3.1
1985-01-23;127x07;;-0.7;;0.1;;;;;-7.6;-4.2
1985-01-24;127x07;;-1.0;;0.0;;;;;-9.8;-4.6
1985-01-25;127x07;;-1.7;;-0.1;;;;;-10.3;-3.8
1985-01-26;127x07;;-2.0;;-0.4;;;;;-7.5;-1.3
1985-01-27;127x07;;-2.1;;-0.6;;;;;-5.4;0.1
1985-01-28;127x07;;-2.2;;-0.7;;;;;-7.7;-3.0
1985-01-29;127x07;;-2.2;;-0.7;;;;;-12.2;-6.1
1985-01-30;127x07;;-2.2;;-0.7;;;;;-14.6;-10.3
1985-01-31;127x07;;-2.2;;-0.7;;;;;-15.7;-10.6
1985-02-01;127x07;;-2.2;;-0.7;;;;;-17.6;-9.7
1985-02-02;127x07;;-2.2;;-0.7;;;;;-15.2;-9.1
1985-02-03;127x07;;-2.2;;-0.7;;;;;-17.5;-10.4
1985-02-04;127x07;;-2.2;;-0.7;;;;;-18.4;-10.9
1985-02-05;127x07;;-2.2;;-0.7;;;;;-11.7;-4.7
1985-02-06;127x07;;-2.2;;-0.7;;;;;-9.0;-4.9
1985-02-07;127x07;;-2.2;;-0.7;;;;;-4.3;1.5
1985-02-08;127x07;;-2.2;;-0.7;;;;;-6.4;0.6
1985-02-09;127x07;;-2.2;;-0.7;;;;;-7.4;-4.1
1985-02-10;127x07;;-2.2;;-0.7;;;;;-7.8;-2.8
1985-02-11;127x07;;-2.2;;-0.7;;;;;-3.8;2.4
1985-02-12;127x07;;-1.4;;-0.8;;;;;-1.0;3.7
1985-02-13;127x07;;-1.1;;-0.8;;;;;-1.8;5.8
1985-02-14;127x07;;-1.0;;-0.6;;;;;-2.3;4.0
1985-02-15;127x07;;-1.0;;-0.5;;;;;0.6;6.1
1985-02-16;127x07;;-0.7;;-0.4;;;;;-3.7;2.4
1985-02-17;127x07;;-0.8;;-0.4;;;;;-6.7;1.0
1985-02-18;127x07;;-1.0;;-0.4;;;;;-7.5;-1.1
1985-02-19;127x07;;-1.3;;-0.4;;;;;-6.2;5.9
1985-02-20;127x07;;-1.0;;-0.4;;;;;-5.4;-2.1
1985-02-21;127x07;;-1.1;;-0.4;;;;;-6.1;2.4
1985-02-22;127x07;;-1.0;;-0.5;;;;;-0.1;3.3
1985-02-23;127x07;;-1.0;;-0.5;;;;;-3.4;4.4
1985-02-24;127x07;;-1.0;;-0.5;;;;;0.3;5.9
1985-02-25;127x07;;-1.0;;-0.5;;;;;-4.0;1.4
1985-02-26;127x07;;-0.4;;-0.3;;;;;-5.8;-1.2
1985-02-27;127x07;;-0.8;;-0.2;;;;;-6.6;2.2
1985-02-28;127x07;;-0.7;;-0.2;;;;;-1.5;5.4
1985-03-01;127x07;;-0.7;;-0.2;;;;;-4.4;7.8
1985-03-02;127x07;;-0.7;;-0.2;;;;;-6.5;-3.4
1985-03-03;127x07;;-0.7;;-0.2;;;;;-6.9;-1.6
