[I 2024-06-07 10:41:19,496] A new study created in memory with name: no-name-2e54c22d-2a0c-4581-a6a9-f709245e50d8
[I 2024-06-07 10:51:37,805] Trial 0 finished with value: 0.05437191536329946 and parameters: {'layers': 13, 'max_depth': 2, 'C': 1432}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 11:05:38,580] Trial 1 finished with value: 0.05810020045154552 and parameters: {'layers': 11, 'max_depth': 1, 'C': 905}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 11:21:47,045] Trial 2 finished with value: 0.05668192144342643 and parameters: {'layers': 9, 'max_depth': 2, 'C': 595}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 11:27:44,936] Trial 3 finished with value: 0.24269400993766102 and parameters: {'layers': 5, 'max_depth': 1, 'C': 919}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 11:33:36,674] Trial 4 finished with value: 0.238953319244557 and parameters: {'layers': 5, 'max_depth': 1, 'C': 1258}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 11:47:46,068] Trial 5 finished with value: 0.06587354192345057 and parameters: {'layers': 6, 'max_depth': 3, 'C': 600}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 11:53:28,676] Trial 6 finished with value: 0.25319114341203536 and parameters: {'layers': 5, 'max_depth': 1, 'C': 1764}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 12:07:31,241] Trial 7 finished with value: 0.06046741265899166 and parameters: {'layers': 10, 'max_depth': 3, 'C': 1407}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 12:24:20,997] Trial 8 finished with value: 0.06468812232399854 and parameters: {'layers': 15, 'max_depth': 3, 'C': 1751}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 12:40:24,369] Trial 9 finished with value: 0.05767880166167876 and parameters: {'layers': 12, 'max_depth': 2, 'C': 1025}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 13:01:26,966] Trial 10 finished with value: 0.06312131122863192 and parameters: {'layers': 15, 'max_depth': 2, 'C': 9}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 13:14:29,576] Trial 11 finished with value: 0.06043930357647257 and parameters: {'layers': 8, 'max_depth': 2, 'C': 450}. Best is trial 0 with value: 0.05437191536329946.
[I 2024-06-07 13:28:50,203] Trial 12 finished with value: 0.05434392942347449 and parameters: {'layers': 13, 'max_depth': 2, 'C': 420}. Best is trial 12 with value: 0.05434392942347449.
[I 2024-06-07 13:43:58,420] Trial 13 finished with value: 0.05894705315721033 and parameters: {'layers': 13, 'max_depth': 2, 'C': 25}. Best is trial 12 with value: 0.05434392942347449.
[I 2024-06-07 13:57:06,112] Trial 14 finished with value: 0.056076007436231 and parameters: {'layers': 13, 'max_depth': 2, 'C': 1990}. Best is trial 12 with value: 0.05434392942347449.
[I 2024-06-07 14:11:19,915] Trial 15 finished with value: 0.06266468181167675 and parameters: {'layers': 13, 'max_depth': 3, 'C': 323}. Best is trial 12 with value: 0.05434392942347449.
[I 2024-06-07 14:23:18,696] Trial 16 finished with value: 0.05222851410819499 and parameters: {'layers': 14, 'max_depth': 2, 'C': 1328}. Best is trial 16 with value: 0.05222851410819499.
[I 2024-06-07 14:40:27,840] Trial 17 finished with value: 0.05809032635626795 and parameters: {'layers': 15, 'max_depth': 1, 'C': 1175}. Best is trial 16 with value: 0.05222851410819499.
[I 2024-06-07 14:53:36,493] Trial 18 finished with value: 0.055810689395592916 and parameters: {'layers': 14, 'max_depth': 2, 'C': 732}. Best is trial 16 with value: 0.05222851410819499.
